SepalLength,SepalWidth,PetalLength,PetalWidth,Class
5.1,0.222222222,3.5,0.625,0
4.9,0.166666667,3,0.416666667,0
4.7,0.111111111,3.2,0.5,0
4.6,0.083333333,3.1,0.458333333,0
5,0.194444444,3.6,0.666666667,0
5.4,0.305555556,3.9,0.791666667,0
4.6,0.083333333,3.4,0.583333333,0
5,0.194444444,3.4,0.583333333,0
4.4,0.027777778,2.9,0.375,0
4.9,0.166666667,3.1,0.458333333,0
5.4,0.305555556,3.7,0.708333333,0
4.8,0.138888889,3.4,0.583333333,0
4.8,0.138888889,3,0.416666667,0
4.3,0.01,3,0.416666667,0
5.8,0.416666667,4,0.833333333,0
5.7,0.388888889,4.4,0.9999,0
5.4,0.305555556,3.9,0.791666667,0
5.1,0.222222222,3.5,0.625,0
5.7,0.388888889,3.8,0.75,0
5.1,0.222222222,3.8,0.75,0
5.4,0.305555556,3.4,0.583333333,0
5.1,0.222222222,3.7,0.708333333,0
4.6,0.083333333,3.6,0.666666667,0
5.1,0.222222222,3.3,0.541666667,0
4.8,0.138888889,3.4,0.583333333,0
5,0.194444444,3,0.416666667,0
5,0.194444444,3.4,0.583333333,0
5.2,0.25,3.5,0.625,0
5.2,0.25,3.4,0.583333333,0
4.7,0.111111111,3.2,0.5,0
4.8,0.138888889,3.1,0.458333333,0
5.4,0.305555556,3.4,0.583333333,0
7,0.75,3.2,0.5,1
6.4,0.583333333,3.2,0.5,1
6.9,0.722222222,3.1,0.458333333,1
5.5,0.333333333,2.3,0.125,1
6.5,0.611111111,2.8,0.333333333,1
5.7,0.388888889,2.8,0.333333333,1
6.3,0.555555556,3.3,0.541666667,1
4.9,0.166666667,2.4,0.166666667,1
6.6,0.638888889,2.9,0.375,1
5.2,0.25,2.7,0.291666667,1
5,0.194444444,2,0.01,1
5.9,0.444444444,3,0.416666667,1
6,0.472222222,2.2,0.083333333,1
6.1,0.5,2.9,0.375,1
5.6,0.361111111,2.9,0.375,1
6.7,0.666666667,3.1,0.458333333,1
5.6,0.361111111,3,0.416666667,1
5.8,0.416666667,2.7,0.291666667,1
6.2,0.527777778,2.2,0.083333333,1
5.6,0.361111111,2.5,0.208333333,1
5.9,0.444444444,3.2,0.5,1
6.1,0.5,2.8,0.333333333,1
6.3,0.555555556,2.5,0.208333333,1
6.1,0.5,2.8,0.333333333,1
6.4,0.583333333,2.9,0.375,1
6.6,0.638888889,3,0.416666667,1
6.8,0.694444444,2.8,0.333333333,1
6.7,0.666666667,3,0.416666667,1
6,0.472222222,2.9,0.375,1
5.7,0.388888889,2.6,0.25,1
5.5,0.333333333,2.4,0.166666667,1
5.5,0.333333333,2.4,0.166666667,1
5.8,0.416666667,2.7,0.291666667,1
6,0.472222222,2.7,0.291666667,1
6.3,0.555555556,3.3,0.541666667,2
5.8,0.416666667,2.7,0.291666667,2
7.1,0.777777778,3,0.416666667,2
6.3,0.555555556,2.9,0.375,2
6.5,0.611111111,3,0.416666667,2
7.6,0.916666667,3,0.416666667,2
4.9,0.166666667,2.5,0.208333333,2
7.3,0.833333333,2.9,0.375,2
6.7,0.666666667,2.5,0.208333333,2
7.2,0.805555556,3.6,0.666666667,2
6.5,0.611111111,3.2,0.5,2
6.4,0.583333333,2.7,0.291666667,2
6.8,0.694444444,3,0.416666667,2
5.7,0.388888889,2.5,0.208333333,2
5.8,0.416666667,2.8,0.333333333,2
6.4,0.583333333,3.2,0.5,2
6.5,0.611111111,3,0.416666667,2
7.7,0.944444444,3.8,0.75,2
7.7,0.944444444,2.6,0.25,2
6,0.472222222,2.2,0.083333333,2
6.9,0.722222222,3.2,0.5,2
5.6,0.361111111,2.8,0.333333333,2
7.7,0.944444444,2.8,0.333333333,2
6.3,0.555555556,2.7,0.291666667,2
6.7,0.666666667,3.3,0.541666667,2
7.2,0.805555556,3.2,0.5,2
6.2,0.527777778,2.8,0.333333333,2
6.1,0.5,3,0.416666667,2
6.4,0.583333333,2.8,0.333333333,2
7.2,0.805555556,3,0.416666667,2
7.4,0.861111111,2.8,0.333333333,2
7.9,0.9999,3.8,0.75,2
6.4,0.583333333,2.8,0.333333333,2
6.3,0.555555556,2.8,0.333333333,2
